ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-21T01:06:02-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-83,	-90,	-91,137M,,-77,-76,,,,,
2026-02-21T01:07:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-82,	-90,	-92,137M,,-77,-76,,,,,
2026-02-21T01:07:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-82,	-90,	-92,137M,,-77,-76,,,,,
2026-02-21T01:08:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-83,	-91,	-94,137M,,-77,-76,,,,,
2026-02-21T01:08:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-83,	-91,	-94,137M,,-77,-76,,,,,
2026-02-21T01:09:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-80,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T01:09:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-80,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T01:10:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-81,	-83,	-93,	-95,137M,,-77,-77,,,,,
2026-02-21T01:10:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-81,	-83,	-93,	-95,137M,,-77,-77,,,,,
2026-02-21T01:11:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-82,	-84,	-91,	-95,137M,,-77,-77,,,,,
2026-02-21T01:11:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-82,	-84,	-91,	-95,137M,,-77,-77,,,,,
2026-02-21T01:12:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,22,	-81,	-83,	-89,	-90,137M,,-77,-76,,,,,
2026-02-21T01:12:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,22,	-81,	-83,	-89,	-90,137M,,-77,-76,,,,,
2026-02-21T01:13:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-79,	-82,	-90,	-92,137M,,-77,-77,,,,,
2026-02-21T01:13:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-79,	-82,	-90,	-92,137M,,-77,-77,,,,,
2026-02-21T01:14:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-83,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T01:14:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-83,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T01:15:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-82,	-85,	-91,	-94,137M,,-77,-78,,,,,
